#main core	Density	size	densest	time taken
1	0.5	2	[V2, V1]	0.002
1	0.5	3	[V2, V3, V1]	0.001
1	0.5	4	[V2, V3, V19, V1]	0.001
1	0.5	5	[V2, V3, V4, V19, V1]	0.001
1	0.5	6	[V2, V3, V4, V5, V19, V1]	0.001
1	0.5	7	[V2, V3, V4, V5, V19, V1, V6]	0.002
1	0.5	8	[V2, V3, V20, V4, V5, V19, V1, V6]	0.002
1	0.5	9	[V2, V3, V20, V4, V5, V19, V1, V7, V6]	0.002
2	1.0	3	[V20, V19, V6]	0.003
1	0.5	3	[V2, V3, V1]	0.003
2	1.0	4	[V20, V5, V19, V6]	0.002
1	0.5	3	[V2, V3, V1]	0.002
2	1.0	5	[V20, V4, V5, V19, V6]	0.002
1	0.5	3	[V2, V3, V1]	0.002
2	1.0	8	[V2, V3, V20, V4, V5, V19, V1, V6]	0.003
2	1.0	8	[V2, V3, V20, V4, V5, V19, V1, V6]	0.003
2	1.0	8	[V2, V3, V20, V4, V5, V19, V1, V6]	0.003
2	1.0	8	[V2, V3, V20, V4, V5, V19, V1, V6]	0.004
3	1.5	5	[V3, V20, V4, V5, V19]	0.004
1	0.5	3	[V2, V1, V9]	0.004
3	1.5	6	[V3, V20, V4, V5, V19, V6]	0.003
1	0.5	3	[V2, V1, V9]	0.003
3	1.5	6	[V3, V20, V4, V5, V19, V6]	0.003
1	0.5	3	[V2, V1, V9]	0.003
3	1.5	6	[V3, V20, V4, V5, V19, V6]	0.003
1	0.5	3	[V2, V1, V9]	0.003
4	2.0	6	[V3, V20, V4, V5, V19, V6]	0.003
1	0.5	3	[V2, V1, V9]	0.003
4	2.0	6	[V3, V20, V4, V5, V19, V6]	0.005
1	0.5	3	[V2, V1, V9]	0.005
4	2.0	6	[V3, V20, V4, V5, V19, V6]	0.003
1	0.5	3	[V2, V1, V9]	0.003
4	2.0	7	[V3, V20, V4, V5, V19, V7, V6]	0.003
1	0.5	3	[V2, V1, V9]	0.003
4	2.0	7	[V3, V20, V4, V5, V19, V7, V6]	0.003
1	0.5	3	[V2, V1, V9]	0.003
5	2.5	7	[V3, V20, V4, V5, V19, V7, V6]	0.003
1	0.5	3	[V2, V1, V9]	0.003
5	2.5	7	[V3, V20, V4, V5, V19, V7, V6]	0.003
1	0.5	3	[V2, V1, V9]	0.003
5	2.5	7	[V3, V20, V4, V5, V19, V7, V6]	0.002
1	0.5	3	[V2, V1, V9]	0.002
5	2.5	7	[V3, V20, V4, V5, V19, V7, V6]	0.003
1	0.5	4	[V2, V1, V9, V10]	0.003
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.002
1	0.5	5	[V2, V1, V9, V11, V10]	0.002
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.002
1	0.5	6	[V2, V1, V18, V9, V11, V10]	0.002
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.002
1	0.5	7	[V2, V1, V18, V12, V9, V11, V10]	0.002
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.003
1	0.5	8	[V2, V1, V13, V18, V12, V9, V11, V10]	0.003
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.003
2	1.0	3	[V13, V12, V11]	0.003
1	0.5	5	[V2, V1, V18, V9, V10]	0.003
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.002
2	1.0	3	[V13, V12, V11]	0.002
1	0.5	5	[V2, V1, V18, V9, V10]	0.002
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.003
2	1.0	3	[V13, V12, V11]	0.003
1	0.5	5	[V2, V1, V18, V9, V10]	0.003
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.004
2	1.0	3	[V13, V12, V11]	0.004
1	0.5	7	[V2, V1, V15, V14, V18, V9, V10]	0.004
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.004
2	1.0	3	[V13, V12, V11]	0.004
1	0.5	8	[V2, V1, V16, V15, V14, V18, V9, V10]	0.004
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.004
2	1.0	5	[V14, V13, V17, V12, V11]	0.004
1	0.5	5	[V2, V1, V18, V9, V10]	0.004
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.005
2	1.0	7	[V16, V15, V14, V13, V17, V12, V11]	0.005
1	0.5	5	[V2, V1, V18, V9, V10]	0.005
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.005
2	1.0	7	[V16, V15, V14, V13, V17, V12, V11]	0.005
1	0.5	5	[V2, V1, V18, V9, V10]	0.005
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.005
3	1.5	4	[V16, V15, V14, V17]	0.005
2	1.0	3	[V13, V12, V11]	0.005
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.004
3	1.5	4	[V16, V15, V14, V17]	0.004
2	1.0	3	[V13, V12, V11]	0.004
5	2.5	7	[V3, V4, V20, V5, V19, V7, V6]	0.005
3	1.5	4	[V16, V15, V14, V17]	0.005
2	1.0	3	[V13, V12, V11]	0.005
