#main core	Density	size	time taken
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
1	0.5	3	0.002
1	0.5	3	0.002
1	0.5	2	0.001
1	0.5	2	0.001
1	0.5	2	0.002
1	0.5	4	0.001
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
1	0.5	2	0.002
1	0.5	2	0.001
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
1	0.5	2	0.002
1	0.5	3	0.002
1	0.5	4	0.001
1	0.5	5	0.001
1	0.5	6	0.001
1	0.5	7	0.002
1	0.5	6	0.001
1	0.5	6	0.001
1	0.5	6	0.001
1	0.5	6	0.001
1	0.5	2	0.001
1	0.5	2	0.002
0	0.0	0	0.0
1	0.5	3	0.001
1	0.5	2	0.003
0	0.0	0	0.0
